Date,Total Buyin,Profit,Notes
20210809,750,785,Always keep positive mind!
20210810,750,-750,Clock rule!
20210811,2000,-790,Stop bleeding!
20210812,2000,-1570,Each hand should be independent event!
20210813,200,250,
20210815,300,342,
20210816,1000,580,
20210817,1000,590,
20210818,1000,265,
20210819,1000,-265,Go big when the luck stands by!
20210823,1000,225,Stay focused and stop bleeding!
20210824,1000,510,
20210825,1000,615,
20210826,500,735,
20210831,1600,-985,
20210901,1000,160,
20210904,500,-131,
20210905,500,236,
20210908,1000,1855,
20210922,1000,625,
20210923,1000,130,
20210927,1750,800,
